iter	MAE
0	5.307335743
1	5.235945135
2	5.18227029
3	5.109282526
4	5.039530892
5	4.984553323
6	4.920613704
7	4.861835778
8	4.803858544
9	4.753581752
10	4.697348847
11	4.631881139
12	4.597313282
13	4.558055758
14	4.514900873
15	4.474039855
16	4.430182637
17	4.375018757
18	4.334750321
19	4.299404942
20	4.265500555
21	4.211174928
22	4.166188587
23	4.128178791
24	4.094158951
25	4.051527946
26	4.014070756
27	3.975136121
28	3.932865647
29	3.899326857
30	3.865257619
31	3.822959126
32	3.797613439
33	3.774230022
34	3.750523733
35	3.732864965
36	3.718724958
37	3.692059292
38	3.665467882
39	3.647619656
40	3.612298208
41	3.582139753
42	3.54919169
43	3.528368461
44	3.508469154
45	3.49441701
46	3.472244249
47	3.459722616
48	3.440005285
49	3.406818775
50	3.389394783
51	3.357542222
52	3.34297408
53	3.330863444
54	3.314478396
55	3.303067041
56	3.287871123
57	3.280322961
58	3.267327435
59	3.247680288
60	3.229540371
61	3.198417551
62	3.179374547
63	3.168287662
64	3.146076121
65	3.132886845
66	3.117530819
67	3.10270347
68	3.095444272
69	3.068078913
70	3.051995526
71	3.036568891
72	3.029001358
73	3.020731411
74	3.008550184
75	2.975871476
76	2.963227616
77	2.954791081
78	2.938876315
79	2.924646356
80	2.915312933
81	2.89570723
82	2.876066469
83	2.862348916
84	2.852183212
85	2.839925631
86	2.832690839
87	2.826327882
88	2.817186687
89	2.81018778
90	2.800868192
91	2.794786862
92	2.784719464
93	2.767900227
94	2.758918238
95	2.74745066
96	2.738950479
97	2.725952447
98	2.712747001
99	2.702833772
