iter	Passed	Remaining
0	6	640
1	13	661
2	19	638
3	26	624
4	32	620
5	38	601
6	44	587
7	50	578
8	56	566
9	61	555
10	67	547
11	73	537
12	79	528
13	84	520
14	92	522
15	97	512
16	103	504
17	109	497
18	114	488
19	119	479
20	125	470
21	131	466
22	137	460
23	144	456
24	148	444
25	153	436
26	158	427
27	162	418
28	166	408
29	170	398
30	175	389
31	179	381
32	183	372
33	187	364
34	192	357
35	196	349
36	200	341
37	204	334
38	208	326
39	213	320
40	217	312
41	221	305
42	225	299
43	229	292
44	234	286
45	238	280
46	242	274
47	247	267
48	251	261
49	255	255
50	259	249
51	263	243
52	267	237
53	271	231
54	275	225
55	280	220
56	284	214
57	288	208
58	292	203
59	296	197
60	300	192
61	304	186
62	308	181
63	314	177
64	318	171
65	323	166
66	333	164
67	339	159
68	345	155
69	351	150
70	356	145
71	360	140
72	364	134
73	369	129
74	374	124
75	378	119
76	382	114
77	387	109
78	390	103
79	394	98
80	399	93
81	402	88
82	408	83
83	412	78
84	417	73
85	422	68
86	427	63
87	433	59
88	437	54
89	441	49
90	445	44
91	449	39
92	453	34
93	457	29
94	461	24
95	467	19
96	472	14
97	476	9
98	480	4
99	486	0
